Pay_mth,platform,amount
February 2022,eBay,271.45
March 2022,eBay,2207.67
April 2022,eBay,1433.68
May 2022,eBay,1237.39
June 2022,eBay,717.91
July 2022,eBay,652.23
August 2022,eBay,427.72
September 2022,eBay,326.73
October 2022,eBay,490.51
November 2022,eBay,762.56
December 2022,eBay,324.88
August 2022,Mercari,237.78
September 2022,Mercari,159
October 2022,Mercari,224.76
November 2022,Mercari,146.85
December 2022,Mercari,96.67
August 2022,Poshmark,43.7
September 2022,Poshmark,0
October 2022,Poshmark,155.9
November 2022,Poshmark,0
December 2022,Poshmark,90.08